,Graph-Large-3,Graph-Large-5,Graph-Large-7,Graph-Small-3,Graph-Small-5,Graph-Small-7,Number-Large-3,Number-Large-5,Number-Large-7,Number-Small-3,Number-Small-5,Number-Small-7
107,947.9829999757494,953.0599999913828,1010.3099999946426,761.5619999855699,1241.8339999922027,1131.447999984579,1152.6789999911562,1298.5009999930626,1983.7799999781128,1267.3919999841746,1456.200999976747,1795.125999976517
108,876.4659999767755,886.3339999880991,1029.043999974674,730.0469999857014,1311.376999980101,1202.5489999879355,921.8859999960404,1567.195999990479,1891.5769999978947,1517.943999997835,1503.5879999817407,
109,772.03699999128,947.8779999776452,1152.81299998716,1126.0709999877145,817.0109999922861,1460.0899999915273,913.9889999865554,1938.7049999717856,1910.300999988569,1014.1319999868864,1917.676999983756,3087.5979999857373
110,876.6180000011227,1003.946000000753,1053.310999999987,1071.0150000014985,1035.6630000000005,1596.1089999999967,1111.4600000007486,1770.236000000732,2864.7680000014952,1930.818000000756,1878.5200000007464,2696.4460000003746
111,904.722999999998,887.9790000007488,956.3240000014775,1119.8520000011194,965.873000000749,1993.223000001104,1117.366000000737,1920.1620000003604,1504.9300000014773,1307.5550000003714,1723.3750000003783,1994.6690000011292
112,748.9730000011041,983.0190000011062,1046.084999999992,897.1700000011188,1055.395000000368,1037.3760000003676,1262.155999999988,1987.9030000011264,,1139.670000001497,2285.345000000758,3702.3780000007537
113,879.6860000015004,1025.7900000003865,981.4090000000142,788.5820000011299,898.2000000000116,782.6910000007483,1480.2140000014915,1327.6630000011064,,1157.7290000014764,2924.397000000376,3401.069000000367
114,666.2669999999925,1133.747000001109,970.3229999999749,679.6530000007479,794.6149999999907,1049.425000000745,,2466.4780000007595,2361.6259999999893,1174.0420000000158,2692.8030000000144,3234.690000001516
115,1187.9210000000312,1060.454000000027,1257.1400000000722,852.5000000001746,1028.8900000001595,1345.7720000000554,1074.3120000000345,1083.6200000000244,2025.8430000000808,,1830.5390000001064,
116,847.1070000001055,856.0720000002184,984.9210000000894,1067.2140000001236,900.895000000106,1370.820000000036,1448.9560000001802,1628.8560000002035,1909.6600000002072,1385.9230000000098,2032.8369999999995,2701.5500000000466
117,772.5430000001215,779.8120000000927,1049.4420000001846,797.5660000000789,931.2830000000832,889.0810000000929,1398.8640000001178,1427.3230000000913,2706.8530000001774,1081.141000000178,1724.3620000002263,
118,866.7500000000582,1259.0460000000894,865.2660000001197,879.954000000027,819.7060000000929,1302.9740000001038,1158.6650000001537,1795.475000000035,2256.708000000159,1792.3590000002296,1974.3560000001744,4645.269000000146
119,791.1540000000386,1049.8610000000915,894.035000000149,912.810000000114,858.6470000001427,1118.5640000001297,1472.9390000001297,1995.8910000001777,1566.1570000002391,1218.5430000001215,,3426.646000000066
120,1053.224000095972,1525.4069999627536,1425.9279999865976,1390.3290000859124,1546.6570000184,1388.207999960374,1553.2619999451565,2624.219000064375,2683.7949999248376,1413.7890000473851,2880.8570001013286,
121,1033.2800000158022,1314.700000042547,1213.0410000171396,1373.2160000127333,1225.9760000928943,1297.0870000610885,1523.6109999836772,2631.416999893234,,1531.5429999356274,1871.361000037985,
122,937.1900000146708,1334.2739999213954,1473.0870000400755,1190.20900001243,1029.8409999895084,1319.827999909845,1494.393000038748,2235.7680000923865,2774.672000023158,1547.8080000783084,2313.8910000123724,2178.9469999839785
123,943.9779999937456,1162.775999921461,1235.2700000508048,1070.0599998927792,1029.9599999154452,1249.5240000982012,1046.5999999079213,1867.482999894652,3176.058000010147,1304.349999932805,2900.598000087688,2940.824999887933
124,1048.2679999949469,943.25000004092,1568.4310000011465,1053.412999949942,1099.3469999399383,1457.8819999162806,1836.3030000188735,1550.5809999461344,3555.336999915948,1546.2739999855405,1880.2000001071428,2750.846000108839
