,graphFlag,deviation,size,duration
1385,0.0,5.0,5.0,2032.8369999999995
1386,0.0,5.0,5.0,1724.3620000002263
1390,0.0,5.0,5.0,1974.3560000001744
1436,0.0,5.0,5.0,2105.457000000228
1440,0.0,5.0,5.0,2880.8570001013286
1453,0.0,5.0,5.0,1871.361000037985
1461,0.0,5.0,5.0,2313.8910000123724
1476,0.0,5.0,5.0,2900.598000087688
1485,0.0,5.0,5.0,1880.2000001071428
8,0.0,5.0,7.0,2172.0
22,0.0,5.0,7.0,2933.0
30,0.0,5.0,7.0,1926.0
41,0.0,5.0,7.0,1532.0
42,0.0,5.0,7.0,1536.0
62,0.0,5.0,7.0,1683.0
66,0.0,5.0,7.0,2137.0
80,0.0,5.0,7.0,1836.0
97,0.0,5.0,7.0,1622.0
98,0.0,5.0,7.0,1068.0
127,0.0,5.0,7.0,3282.210999988485
137,0.0,5.0,7.0,2603.3739999954123
144,0.0,5.0,7.0,2002.887999987608
148,0.0,5.0,7.0,2468.7519999906945
179,0.0,5.0,7.0,2784.9409999919008
183,0.0,5.0,7.0,1807.1999999999823
219,0.0,5.0,7.0,3077.9560000000347
221,0.0,5.0,7.0,2242.1810000000114
222,0.0,5.0,7.0,1677.0849999999627
235,0.0,5.0,7.0,1333.332000000053
267,0.0,5.0,7.0,1402.426999999967
274,0.0,5.0,7.0,1183.350000000064
277,0.0,5.0,7.0,1473.7389999999432
285,0.0,5.0,7.0,2010.9860000000333
295,0.0,5.0,7.0,1766.8079999999609
305,0.0,5.0,7.0,2061.0
309,0.0,5.0,7.0,1796.0
337,0.0,5.0,7.0,1594.0
344,0.0,5.0,7.0,1906.0
348,0.0,5.0,7.0,1706.0
360,0.0,5.0,7.0,1982.6379999970088
365,0.0,5.0,7.0,2738.561999997008
387,0.0,5.0,7.0,1971.449999997014
401,0.0,5.0,7.0,3192.771000005945
411,0.0,5.0,7.0,1991.2060000000056
430,0.0,5.0,7.0,1297.0
434,0.0,5.0,7.0,1854.0
452,0.0,5.0,7.0,2119.000000000029
459,0.0,5.0,7.0,2905.0
471,0.0,5.0,7.0,2266.0
484,0.0,5.0,7.0,2036.0
499,0.0,5.0,7.0,2450.0
502,0.0,5.0,7.0,2564.0
504,0.0,5.0,7.0,1702.0
526,0.0,5.0,7.0,1715.999999999971
558,0.0,5.0,7.0,1435.0
560,0.0,5.0,7.0,1751.0
562,0.0,5.0,7.0,1539.0
572,0.0,5.0,7.0,2452.000000000029
578,0.0,5.0,7.0,2612.0
620,0.0,5.0,7.0,2423.5819999970263
625,0.0,5.0,7.0,2520.1860000015004
634,0.0,5.0,7.0,2009.7790000014936
642,0.0,5.0,7.0,2321.1499999955413
647,0.0,5.0,7.0,1966.7069999970263
661,0.0,5.0,7.0,1864.0
679,0.0,5.0,7.0,2174.0
681,0.0,5.0,7.0,1662.0
699,0.0,5.0,7.0,1936.000000000029
710,0.0,5.0,7.0,3165.000000000029
722,0.0,5.0,7.0,1632.0
732,0.0,5.0,7.0,2288.0
752,0.0,5.0,7.0,1745.000000000029
